product_name,price,description,image_url,lost_description,image_path,category,searchable_text
Acer Aspire ES...,$485.9,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 128GB SSD, Linux",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I think I left my acer aspire es... in the lecture hall.,images/product_57_0.jpg,electronics,"Acer Aspire ES... Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 128GB SSD, Linux I think I left my acer aspire es... in the lecture hall. electronics"
Lenovo ThinkPa...,$999,"Lenovo ThinkPad L570, 15.6"" FHD, Core i7-7500U, 8GB, 256GB SSD, Windows 10 Pro",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I dropped my lenovo thinkpa... near the parking area.,images/product_23_0.jpg,electronics,"Lenovo ThinkPa... Lenovo ThinkPad L570, 15.6"" FHD, Core i7-7500U, 8GB, 256GB SSD, Windows 10 Pro I dropped my lenovo thinkpa... near the parking area. electronics"
Acer Aspire 3...,$393.88,"Acer Aspire 3 A315-21, 15.6"", AMD A4-9120. 4GB. 128GB SSD, Linux",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my acer aspire 3... near the bus stop yesterday evening.,images/product_39_0.jpg,electronics,"Acer Aspire 3... Acer Aspire 3 A315-21, 15.6"", AMD A4-9120. 4GB. 128GB SSD, Linux I lost my acer aspire 3... near the bus stop yesterday evening. electronics"
MSI GL72M 7RDX,$1099,"MSI GL72M 7RDX, 17.3"" FHD, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I think I left my msi gl72m 7rdx in the lecture hall.,images/product_65_0.jpg,electronics,"MSI GL72M 7RDX MSI GL72M 7RDX, 17.3"" FHD, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home I think I left my msi gl72m 7rdx in the lecture hall. electronics"
Galaxy Note,$399.99,"10.1"", 3G, Android 4.0, Garnet Red",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,Someone might have seen a galaxy note near the hostel area.,images/product_136_0.jpg,electronics,"Galaxy Note 10.1"", 3G, Android 4.0, Garnet Red Someone might have seen a galaxy note near the hostel area. electronics"
Asus ROG Strix...,$1769,"Asus ROG Strix GL702ZC-GC209T, 17.3"" FHD IPS, Ryzen 7 1700, 16GB, 256GB SSD + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,My asus rog strix... went missing near the campus cafeteria.,images/product_27_0.jpg,electronics,"Asus ROG Strix... Asus ROG Strix GL702ZC-GC209T, 17.3"" FHD IPS, Ryzen 7 1700, 16GB, 256GB SSD + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home My asus rog strix... went missing near the campus cafeteria. electronics"
Lenovo V510 Bl...,$484.23,"Lenovo V510 Black, 14"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my lenovo v510 bl... near the bus stop yesterday evening.,images/product_56_0.jpg,electronics,"Lenovo V510 Bl... Lenovo V510 Black, 14"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home I lost my lenovo v510 bl... near the bus stop yesterday evening. electronics"
Lenovo V110-15...,$356.49,"Asus VivoBook 15 X540NA-GQ008T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 500GB, Windows 10 Home, En kbd",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,My lenovo v110-15... went missing near the campus cafeteria.,images/product_33_0.jpg,electronics,"Lenovo V110-15... Asus VivoBook 15 X540NA-GQ008T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 500GB, Windows 10 Home, En kbd My lenovo v110-15... went missing near the campus cafeteria. electronics"
Acer Aspire 3...,$391.48,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I misplaced my acer aspire 3... somewhere in the library.,images/product_38_0.jpg,electronics,"Acer Aspire 3... Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home I misplaced my acer aspire 3... somewhere in the library. electronics"
Lenovo Yoga 91...,$1199.73,"Lenovo Yoga 910 Grey, 13.9"" FHD Touch, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I misplaced my lenovo yoga 91... somewhere in the library.,images/product_92_0.jpg,electronics,"Lenovo Yoga 91... Lenovo Yoga 910 Grey, 13.9"" FHD Touch, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home I misplaced my lenovo yoga 91... somewhere in the library. electronics"
