product_name,price,description,image_url,lost_description
Packard 255 G2,$416.99,"15.6"", AMD E2-3800 1.3GHz, 4GB, 500GB, Windows 8.1",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my packard 255 g2 while commuting this morning.
Aspire E1-510,$306.99,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,A aspire e1-510 was reported missing near the main gate.
ThinkPad T540p,$1178.99,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my thinkpad t540p while commuting this morning.
ProBook,$739.99,"14"", Core i5 2.6GHz, 4GB, 500GB, Win7 Pro 64bit",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,My probook went missing near the campus cafeteria.
ThinkPad X240,$1311.99,"12.5"", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I think I left my thinkpad x240 in the lecture hall.
Aspire E1-572G,$581.99,"15.6"", Core i5-4200U, 8GB, 1TB, Radeon R7 M265, Windows 8.1",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my aspire e1-572g while commuting this morning.
ThinkPad Yoga,$1033.99,"12.5"" Touch, Core i3-4010U, 4GB, 500GB + 16GB SSD Cache,",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my thinkpad yoga while commuting this morning.
Pavilion,$609.99,"15.6"", Core i5-4200U, 6GB, 750GB, Windows 8.1",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,My pavilion went missing near the campus cafeteria.
Inspiron 15,$745.99,"Moon Silver, 15.6"", Core i7-4510U, 8GB, 1TB, Radeon HD R7 M265 2GB,",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my inspiron 15 while commuting this morning.
Dell XPS 13,$1281.99,"13.3"" Touch, Core i5-4210U, 8GB, 128GB SSD, Windows 8.1",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my dell xps 13 near the bus stop yesterday evening.
ThinkPad X230,$1244.99,"12.5"", Core i5 2.6GHz, 8GB, 180GB SSD, Win7 Pro 64bit",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my thinkpad x230 while commuting this morning.
HP 250 G3,$520.99,"15.6"", Core i5-4210U, 4GB, 500GB, Windows 8.1",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,Someone might have seen a hp 250 g3 near the hostel area.
ThinkPad Yoga,$1223.99,"12.5"" Touch, Core i5 4200U, 8GB, 500GB + 16GB SSD Cache, Windows",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,My thinkpad yoga went missing near the campus cafeteria.
HP 350 G1,$577.99,"15.6"", Core i5-4200U, 4GB, 750GB, Radeon HD8670M 2GB, Windows",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I misplaced my hp 350 g1 somewhere in the library.
Asus VivoBook...,$399,"Asus VivoBook Max X541NA-GQ041 Black Chocolate, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 500GB, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I dropped my asus vivobook... near the parking area.
Dell Vostro 15,$488.78,"Dell Vostro 15 (3568) Black, 15.6"" FHD, Core i5-7200U, 4GB, 128GB SSD, Radeon R5 M420 2GB, Linux",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I misplaced my dell vostro 15 somewhere in the library.
